Hour,date_time,Solar electricity generation,Electricity usage,z_score,Electricity_to_be_bought,excess_elec_generated,battery_charge,elec_to_buy_given_bat,cost_without_bat,cost_with_bat,saving
0,2020-01-01 00:00:00,0,1.509849,0.0118075778969212,1.509849,0,0,1.509849,0.25667433,0.25667433,0
1,2020-01-01 01:00:00,0,1.4118588,0.0120069671542274,1.4118588,0,0,1.4118588,0.240015996,0.240015996,0
2,2020-01-01 02:00:00,0,1.0238976,0.0127963858464194,1.0238976,0,0,1.0238976,0.174062592,0.174062592,0
3,2020-01-01 03:00:00,0,0.642,0.0135734663996893,0.642,0,0,0.642,0.10914,0.10914,0
4,2020-01-01 04:00:00,0,0.96,0.0129264038993232,0.96,0,0,0.96,0.1632,0.1632,0
5,2020-01-01 05:00:00,0.012,0.897,0.0130545955267542,0.885,0,0,0.885,0.15045,0.15045,0
6,2020-01-01 06:00:00,0.006,0.648,0.0135612576732673,0.642,0,0,0.642,0.10914,0.10914,0
7,2020-01-01 07:00:00,0.009,0.774,0.0133048744184052,0.765,0,0,0.765,0.13005,0.13005,0
8,2020-01-01 08:00:00,0.012,1.299,0.01223661085648,1.287,0,0,1.287,0.21879,0.21879,0
9,2020-01-01 09:00:00,0.846,0.606,0.0136467187582213,0,0.24,0.24,0,0,0,0
10,2020-01-01 10:00:00,0,0,0.0148798001268435,0,0,0.24,0,0,0,0
11,2020-01-01 11:00:00,0,0,0.0148798001268435,0,0,0.24,0,0,0,0
12,2020-01-01 12:00:00,0.651,0.396,0.0140740241829914,0,0.255,0.495,0,0,0,0
13,2020-01-01 13:00:00,0.363,0.615,0.0136284056685883,0.252,0,0.243,0,0.04284,0,0.04284
14,2020-01-01 14:00:00,0.303,1.419,0.01199243632804,1.116,0,0,0.873,0.18972,0.14841,0.04131
15,2020-01-01 15:00:00,0.159,1.437,0.011955810148774,1.278,0,0,1.278,0.21726,0.21726,0
16,2020-01-01 16:00:00,0.081,3.105,0.00856178420345731,3.024,0,0,3.024,0.51408,0.51408,0
17,2020-01-01 17:00:00,0.006,12.624,0.0405669605187365,12.618,0,0,12.618,2.14506,2.14506,0
18,2020-01-01 18:00:00,0,8.9298,0.00329044740702258,8.9298,0,0,8.9298,1.518066,1.518066,0
19,2020-01-01 19:00:00,0.021,2.2176,0.0103674548412715,2.1966,0,0,2.1966,0.373422,0.373422,0
20,2020-01-01 20:00:00,0.003,4.4286,0.00586853915476359,4.4256,0,0,4.4256,0.752352,0.752352,0
21,2020-01-01 21:00:00,0.003,6.789,0.00106562618034786,6.786,0,0,6.786,1.15362,1.15362,0
22,2020-01-01 22:00:00,0.006,1.806,0.0112049734738208,1.8,0,0,1.8,0.306,0.306,0
23,2020-01-01 23:00:00,0,0.9359064,0.0129754292611433,0.9359064,0,0,0.9359064,0.159104088,0.159104088,0
0,2020-01-02 00:00:00,0,0.7339266,0.0133864152813051,0.7339266,0,0,0.7339266,0.124767522,0.124767522,0
1,2020-01-02 01:00:00,0,0.3079692,0.0142531481753097,0.3079692,0,0,0.3079692,0.052354764,0.052354764,0
2,2020-01-02 02:00:00,0,0.1979802,0.0144769524437146,0.1979802,0,0,0.1979802,0.033656634,0.033656634,0
3,2020-01-02 03:00:00,0,0.267,0.0143365118010644,0.267,0,0,0.267,0.04539,0.04539,0
4,2020-01-02 04:00:00,0,0.162,0.0145501645134495,0.162,0,0,0.162,0.02754,0.02754,0
5,2020-01-02 05:00:00,0.012,0.216,0.0144402859756514,0.204,0,0,0.204,0.03468,0.03468,0
6,2020-01-02 06:00:00,0.015,0.213,0.0144463903388624,0.198,0,0,0.198,0.03366,0.03366,0
7,2020-01-02 07:00:00,0,0.804,0.0132438307862952,0.804,0,0,0.804,0.13668,0.13668,0
8,2020-01-02 08:00:00,0.027,1.179,0.0124807853849201,1.152,0,0,1.152,0.19584,0.19584,0
9,2020-01-02 09:00:00,0.276,2.601,0.00958731722290551,2.325,0,0,2.325,0.39525,0.39525,0
10,2020-01-02 10:00:00,0.243,1.38,0.012071793049783,1.137,0,0,1.137,0.19329,0.19329,0
11,2020-01-02 11:00:00,0.498,1.536,0.0117543661628109,1.038,0,0,1.038,0.17646,0.17646,0
12,2020-01-02 12:00:00,0.399,1.596,0.0116322788985909,1.197,0,0,1.197,0.20349,0.20349,0
13,2020-01-02 13:00:00,0.504,22.5,0.0309029239556653,21.996,0,0,21.996,3.73932,3.73932,0
14,2020-01-02 14:00:00,0.159,1.596,0.0116322788985909,1.437,0,0,1.437,0.24429,0.24429,0
15,2020-01-02 15:00:00,0.057,0.564,0.0137321798431753,0.507,0,0,0.507,0.08619,0.08619,0
16,2020-01-02 16:00:00,0,5.562,0.00356231073364734,5.562,0,0,5.562,0.94554,0.94554,0
17,2020-01-02 17:00:00,0.015,1.389,0.01205347996015,1.374,0,0,1.374,0.23358,0.23358,0
18,2020-01-02 18:00:00,0,13.233,0.0120465459968827,13.233,0,0,13.233,2.24961,2.24961,0
19,2020-01-02 19:00:00,0.018,7.8672,0.00112828195768596,7.8492,0,0,7.8492,1.334364,1.334364,0
20,2020-01-02 20:00:00,0.012,2.6334,0.0095213901002267,2.6214,0,0,2.6214,0.445638,0.445638,0
21,2020-01-02 21:00:00,0.006,1.362,0.012108419229049,1.356,0,0,1.356,0.23052,0.23052,0
22,2020-01-02 22:00:00,0.018,1.575,0.0116750094410679,1.557,0,0,1.557,0.26469,0.26469,0
23,2020-01-02 23:00:00,0,1.2018798,0.0124342298484551,1.2018798,0,0,1.2018798,0.204319566,0.204319566,0
0,2020-01-03 00:00:00,0,1.689,0.0114430436390499,1.689,0,0,1.689,0.28713,0.28713,0
1,2020-01-03 01:00:00,0,0.8679132,0.0131137809907028,0.8679132,0,0,0.8679132,0.147545244,0.147545244,0
2,2020-01-03 02:00:00,0,0.4179582,0.0140293439069048,0.4179582,0,0,0.4179582,0.071052894,0.071052894,0
3,2020-01-03 03:00:00,0,0.288,0.0142937812585874,0.288,0,0,0.288,0.04896,0.04896,0
4,2020-01-03 04:00:00,0,0.186,0.0145013296077615,0.186,0,0,0.186,0.03162,0.03162,0
5,2020-01-03 05:00:00,0.009,0.474,0.0139153107395053,0.465,0,0,0.465,0.07905,0.07905,0
6,2020-01-03 06:00:00,0.012,0.459,0.0139458325555604,0.447,0,0,0.447,0.07599,0.07599,0
7,2020-01-03 07:00:00,0.027,0.591,0.0136772405742763,0.564,0,0,0.564,0.09588,0.09588,0
8,2020-01-03 08:00:00,0.003,10.053,0.00557592099322142,10.05,0,0,10.05,1.7085,1.7085,0
9,2020-01-03 09:00:00,0.357,8.202,0.00180952889203369,7.845,0,0,7.845,1.33365,1.33365,0
